model,mean_number_of_steps,mean_number_of_traffic_lights,mean_number_of_waiting_steps,simulation_score
Clock,51.7632,11.3748,39.7632,3.5039750216450214
LocalOptimum,33.1416,11.35,21.1416,1.8714922943722945
GlobalOptimum,33.3948,11.3912,21.3948,1.887850779220779
Clock,53.1004,11.3456,41.1004,3.6759159595959594
LocalOptimum,33.5716,11.3916,21.5716,1.9016033333333333
GlobalOptimum,34.0176,11.356,22.0176,1.952943838383838
Clock,55.9124,11.536,43.9124,3.8163428282828273
LocalOptimum,35.2836,11.54,23.2836,2.016730303030303
GlobalOptimum,35.0452,11.5312,23.0452,1.9991684415584416
Clock,50.386,11.4796,38.386,3.3675767965367966
LocalOptimum,33.04,11.478,21.04,1.8385313852813852
GlobalOptimum,32.326,11.48,20.326,1.7725423232323236
Clock,51.5264,10.9668,39.5264,3.6486196392496395
LocalOptimum,34.5536,10.9576,22.5536,2.0782668109668108
GlobalOptimum,33.804,10.9524,21.804,2.0100213419913415
Clock,56.2276,11.256,44.2276,3.9367370274170272
LocalOptimum,36.4892,11.2832,24.4892,2.1690441558441558
GlobalOptimum,35.1384,11.2484,23.1384,2.0638711976911974
Clock,54.1172,11.2044,42.1172,3.7707141702741707
LocalOptimum,33.5692,11.1776,21.5692,1.9339852958152959
GlobalOptimum,33.97,11.1824,21.97,1.967214603174603
Clock,60.5128,11.29,48.5128,4.30625544011544
LocalOptimum,35.6592,11.2628,23.6592,2.109660404040404
GlobalOptimum,35.3516,11.278,23.3516,2.0819354256854257
Clock,48.8828,11.4732,36.8828,3.2098404906204907
LocalOptimum,33.0112,11.4776,21.0112,1.8295525396825396
GlobalOptimum,32.4992,11.468,20.4992,1.7873151370851375
Clock,54.02,11.3948,42.02,3.685865916305917
LocalOptimum,33.5208,11.398,21.5208,1.8972731313131312
GlobalOptimum,33.49,11.4072,21.49,1.8922777344877344
